2020-10-22 21:39:21 status unpacked libselinux1:amd64 2.8-1+b1
2020-10-22 21:39:21 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2020-10-22 21:39:21 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2020-10-22 21:39:21 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2020-10-22 21:39:21 install tar:amd64 <none> 1.30+dfsg-6
2020-10-22 21:39:21 status half-installed tar:amd64 1.30+dfsg-6
2020-10-22 21:39:22 status unpacked tar:amd64 1.30+dfsg-6
2020-10-22 21:39:22 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2020-10-22 21:39:22 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2020-10-22 21:39:22 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2020-10-22 21:39:22 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2020-10-22 21:39:22 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2020-10-22 21:39:22 install libsemanage-common:all <none> 2.8-2
2020-10-22 21:39:22 status half-installed libsemanage-common:all 2.8-2
2020-10-22 21:39:22 status unpacked libsemanage-common:all 2.8-2
2020-10-22 21:39:22 install libsepol1:amd64 <none> 2.8-1
2020-10-22 21:39:22 status half-installed libsepol1:amd64 2.8-1
2020-10-22 21:39:22 status unpacked libsepol1:amd64 2.8-1
2020-10-22 21:39:22 install libsemanage1:amd64 <none> 2.8-2
2020-10-22 21:39:22 status half-installed libsemanage1:amd64 2.8-2
2020-10-22 21:39:22 status unpacked libsemanage1:amd64 2.8-2
2020-10-22 21:39:22 install passwd:amd64 <none> 1:4.5-1.1
2020-10-22 21:39:22 status half-installed passwd:amd64 1:4.5-1.1
2020-10-22 21:39:22 status unpacked passwd:amd64 1:4.5-1.1
2020-10-22 21:39:22 install libstdc++6:amd64 <none> 8.3.0-6
2020-10-22 21:39:22 status half-installed libstdc++6:amd64 8.3.0-6
2020-10-22 21:39:22 status unpacked libstdc++6:amd64 8.3.0-6
2020-10-22 21:39:22 install libsystemd0:amd64 <none> 241-7~deb10u4
2020-10-22 21:39:22 status half-installed libsystemd0:amd64 241-7~deb10u4
2020-10-22 21:39:22 status unpacked libsystemd0:amd64 241-7~deb10u4
2020-10-22 21:39:22 install libudev1:amd64 <none> 241-7~deb10u4
2020-10-22 21:39:22 status half-installed libudev1:amd64 241-7~deb10u4
2020-10-22 21:39:22 status unpacked libudev1:amd64 241-7~deb10u4
2020-10-22 21:39:22 install libzstd1:amd64 <none> 1.3.8+dfsg-3
2020-10-22 21:39:22 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2020-10-22 21:39:22 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2020-10-22 21:39:22 install libtasn1-6:amd64 <none> 4.13-3
2020-10-22 21:39:22 status half-installed libtasn1-6:amd64 4.13-3
2020-10-22 21:39:22 status unpacked libtasn1-6:amd64 4.13-3
2020-10-22 21:39:22 install libseccomp2:amd64 <none> 2.3.3-4
2020-10-22 21:39:22 status half-installed libseccomp2:amd64 2.3.3-4
2020-10-22 21:39:22 status unpacked libseccomp2:amd64 2.3.3-4
2020-10-22 21:39:22 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2020-10-22 21:39:22 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2020-10-22 21:39:22 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2020-10-22 21:39:22 install libuuid1:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:22 status half-installed libuuid1:amd64 2.33.1-0.1
2020-10-22 21:39:22 status unpacked libuuid1:amd64 2.33.1-0.1
2020-10-22 21:39:22 install libss2:amd64 <none> 1.44.5-1+deb10u3
2020-10-22 21:39:22 status half-installed libss2:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:22 status unpacked libss2:amd64 1.44.5-1+deb10u3
2020-10-22 21:39:22 install libsmartcols1:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:22 status half-installed libsmartcols1:amd64 2.33.1-0.1
2020-10-22 21:39:22 status unpacked libsmartcols1:amd64 2.33.1-0.1
2020-10-22 21:39:22 install login:amd64 <none> 1:4.5-1.1
2020-10-22 21:39:22 status half-installed login:amd64 1:4.5-1.1
2020-10-22 21:39:22 status unpacked login:amd64 1:4.5-1.1
2020-10-22 21:39:22 install util-linux:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:22 status half-installed util-linux:amd64 2.33.1-0.1
2020-10-22 21:39:22 status unpacked util-linux:amd64 2.33.1-0.1
2020-10-22 21:39:22 install mount:amd64 <none> 2.33.1-0.1
2020-10-22 21:39:22 status half-installed mount:amd64 2.33.1-0.1
2020-10-22 21:39:22 status unpacked mount:amd64 2.33.1-0.1
2020-10-22 21:39:22 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2020-10-22 21:39:22 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 install sed:amd64 <none> 4.7-1
2020-10-22 21:39:23 status half-installed sed:amd64 4.7-1
2020-10-22 21:39:23 status unpacked sed:amd64 4.7-1
2020-10-22 21:39:23 install sysvinit-utils:amd64 <none> 2.93-8
2020-10-22 21:39:23 status half-installed sysvinit-utils:amd64 2.93-8
2020-10-22 21:39:23 status unpacked sysvinit-utils:amd64 2.93-8
2020-10-22 21:39:23 install tzdata:all <none> 2020a-0+deb10u1
2020-10-22 21:39:23 status half-installed tzdata:all 2020a-0+deb10u1
2020-10-22 21:39:23 status unpacked tzdata:all 2020a-0+deb10u1
2020-10-22 21:39:23 startup packages configure
2020-10-22 21:39:23 configure debian-archive-keyring:all 2019.1 <none>
2020-10-22 21:39:23 status unpacked debian-archive-keyring:all 2019.1
2020-10-22 21:39:23 status half-configured debian-archive-keyring:all 2019.1
2020-10-22 21:39:23 status installed debian-archive-keyring:all 2019.1
2020-10-22 21:39:23 configure libaudit-common:all 1:2.8.4-3 <none>
2020-10-22 21:39:23 status unpacked libaudit-common:all 1:2.8.4-3
2020-10-22 21:39:23 status half-configured libaudit-common:all 1:2.8.4-3
2020-10-22 21:39:23 status installed libaudit-common:all 1:2.8.4-3
2020-10-22 21:39:23 configure libsemanage-common:all 2.8-2 <none>
2020-10-22 21:39:23 status unpacked libsemanage-common:all 2.8-2
2020-10-22 21:39:23 status half-configured libsemanage-common:all 2.8-2
2020-10-22 21:39:23 status installed libsemanage-common:all 2.8-2
2020-10-22 21:39:23 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2020-10-22 21:39:23 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-10-22 21:39:23 configure gcc-8-base:amd64 8.3.0-6 <none>
2020-10-22 21:39:23 status unpacked gcc-8-base:amd64 8.3.0-6
2020-10-22 21:39:23 status half-configured gcc-8-base:amd64 8.3.0-6
2020-10-22 21:39:23 status installed gcc-8-base:amd64 8.3.0-6
2020-10-22 21:39:23 configure libc6:amd64 2.28-10 <none>
2020-10-22 21:39:23 status unpacked libc6:amd64 2.28-10
2020-10-22 21:39:23 status half-configured libc6:amd64 2.28-10
2020-10-22 21:39:23 status installed libc6:amd64 2.28-10
2020-10-22 21:39:23 configure libudev1:amd64 241-7~deb10u4 <none>
2020-10-22 21:39:23 status unpacked libudev1:amd64 241-7~deb10u4
2020-10-22 21:39:23 status half-configured libudev1:amd64 241-7~deb10u4
2020-10-22 21:39:23 status installed libudev1:amd64 241-7~deb10u4
2020-10-22 21:39:23 configure libsepol1:amd64 2.8-1 <none>
2020-10-22 21:39:23 status unpacked libsepol1:amd64 2.8-1
2020-10-22 21:39:23 status half-configured libsepol1:amd64 2.8-1
2020-10-22 21:39:23 status installed libsepol1:amd64 2.8-1
2020-10-22 21:39:23 configure libattr1:amd64 1:2.4.48-4 <none>
2020-10-22 21:39:23 status unpacked libattr1:amd64 1:2.4.48-4
2020-10-22 21:39:23 status half-configured libattr1:amd64 1:2.4.48-4
2020-10-22 21:39:23 status installed libattr1:amd64 1:2.4.48-4
2020-10-22 21:39:23 configure libtasn1-6:amd64 4.13-3 <none>
2020-10-22 21:39:23 status unpacked libtasn1-6:amd64 4.13-3
2020-10-22 21:39:23 status half-configured libtasn1-6:amd64 4.13-3
2020-10-22 21:39:23 status installed libtasn1-6:amd64 4.13-3
2020-10-22 21:39:23 configure debianutils:amd64 4.8.6.1 <none>
2020-10-22 21:39:23 status unpacked debianutils:amd64 4.8.6.1
2020-10-22 21:39:23 status half-configured debianutils:amd64 4.8.6.1
2020-10-22 21:39:23 status installed debianutils:amd64 4.8.6.1
2020-10-22 21:39:23 configure mawk:amd64 1.3.3-17+b3 <none>
2020-10-22 21:39:23 status unpacked mawk:amd64 1.3.3-17+b3
2020-10-22 21:39:23 status half-configured mawk:amd64 1.3.3-17+b3
2020-10-22 21:39:23 status installed mawk:amd64 1.3.3-17+b3
2020-10-22 21:39:23 configure libdebconfclient0:amd64 0.249 <none>
2020-10-22 21:39:23 status unpacked libdebconfclient0:amd64 0.249
2020-10-22 21:39:23 status half-configured libdebconfclient0:amd64 0.249
2020-10-22 21:39:23 status installed libdebconfclient0:amd64 0.249
2020-10-22 21:39:23 configure base-files:amd64 10.3+deb10u6 <none>
2020-10-22 21:39:23 status unpacked base-files:amd64 10.3+deb10u6
2020-10-22 21:39:23 status half-configured base-files:amd64 10.3+deb10u6
2020-10-22 21:39:23 status installed base-files:amd64 10.3+deb10u6
2020-10-22 21:39:23 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2020-10-22 21:39:23 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-10-22 21:39:23 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-10-22 21:39:23 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-10-22 21:39:23 configure base-passwd:amd64 3.5.46 <none>
2020-10-22 21:39:23 status unpacked base-passwd:amd64 3.5.46
2020-10-22 21:39:23 status half-configured base-passwd:amd64 3.5.46
2020-10-22 21:39:23 status installed base-passwd:amd64 3.5.46
